"V1","V2","V3","V4","V5","Class"
120.362774,205.5,119.395349,416.581395,20.676318,2
124.739583,202.8,115.333333,354.333333,16.707151,2
134.691964,199.285714,116.857143,477.857143,22.496712,2
127.946309,178.368421,92.368421,278.473684,14.977453,2
135.431548,197,112.690476,532.952381,17.604193,2
118.347962,226.15,138.85,608.9,29.072797,2
135.436282,184.5,95.142857,309.190476,13.055264,2
121.169643,226,146.214286,595.571429,22.808542,2
131.127161,232.784314,144.588235,563.843137,11.948563,2
134.498092,210.212121,116.909091,594.848485,27.937685,2
131.164773,206.681818,114.727273,483.045455,22.903544,2
136.09596,201.4,111.4,444.6,16.553622,2
122.631902,230.560976,142.195122,473.707317,24.521889,2
113.65618,213.107143,129.785714,480.857143,29.237766,2
133.894198,191.621622,115.513514,419.513514,17.489139,2
131.111498,213.666667,125.444444,537.888889,19.434819,2
127.835697,201.358491,116.509434,372.132076,23.929111,2
121.61126,199.744681,121.06383,338.12766,15.019107,2
106.242105,221.75,140,381.166667,18.903263,2
147.771127,220.111111,123.722222,479.166667,23.337037,2
135.823938,192.232877,115.09589,332.424658,12.805692,2
134.958974,226.673469,141.469388,435.959184,17.606107,2
128.531408,188.984,93.312,296.616,16.932495,2
143.528736,170.363636,78.454545,400,10.832306,2
141.109375,164.625,68,242.5,6.753471,2
140.02603,189.896552,89.241379,561.310345,23.83759,2
132.58773,222.392157,133.058823,579.215686,19.832652,2
121.757895,174,92.666667,217.777778,14.055446,2
135.677165,199.75,105.208333,453.333333,16.185073,2
119.457404,180.741936,93.145161,227.774194,12.293254,2
124.591944,179.416667,89.083333,208.083333,20.352602,2
126.527972,178.777778,85.111111,359.777778,11.080513,2
135.024485,190.877551,104.55102,270.653061,14.329932,2
142.56579,183.416667,89.763889,240.263889,11.29866,2
124.611009,180.826087,93.434783,242.608696,9.803702,2
130.84965,175.333333,83.402778,342.277778,21.171678,2
133.854167,166.407407,78.740741,254.37037,14.175076,2
119.714558,231.833333,153.515152,591.015152,25.385987,2
123.278545,218.26,129.68,600.22,29.894943,2
117.639292,215.564103,131.205128,504.076923,22.19423,2
138.512724,202.044776,118.537313,445.925373,20.084939,2
118.578324,198.567568,117.067568,429.135135,33.420971,2
134.064037,183.463636,95.590909,236.681818,18.00373,2
117.650655,236.486111,155.458333,541.541667,18.511821,2
135.284257,234.651163,149.837209,587,22.066888,2
123.302428,207.754386,120.666667,436.087719,18.284456,2
128.096093,199.2,118.4,403.333333,21.405892,2
119.635551,200.651786,118.821429,312.517857,21.871778,2
119.506522,224.241379,131.586207,592.241379,27.410822,2
132.279558,213.508772,126.210526,503.631579,26.666932,2
